equipment_id,designation,serial_number,inventory_number,manufacturer_id,equipment_group_id,billing_group_id,usage_type_id,cost_center_id,status_id,process_id
114400477,W 120 CFi,18100253,18653,121.0,64.0,,4,1.0,3,1.0
114400474,W 60 i,9100366,18655,121.0,63.0,,4,1.0,3,1.0
114400471,W 100 F,8101165,18654,121.0,64.0,,4,1.0,3,1.0
114400468,W 120 Fi,13100455,18652,121.0,64.0,,4,1.0,3,1.0
114400465,W 200i,14201248,18656,121.0,64.0,,4,1.0,3,1.0
114400361,W 200i,14201247,18656,121.0,64.0,,4,1.0,3,1.0
114399869,W 120 F,08100061,17746,121.0,64.0,,4,1.0,3,1.0
114399801,H 90 SG,,,45.0,106.0,227.0,4,,1,1.0
114399668,130 EC-B 8 Fr.tronic,21305,18316,69.0,92.0,,4,1.0,3,1.0
114399210,HC 130i,,,39.0,56.0,146.0,4,,1,1.0
114394905,A 916 Litronic,,,69.0,8.0,,4,,2,1.0
113856870,Materialkübel extern,45rt432,,27.0,69.0,177.0,3,2.0,3,1.0
113856848,MF 2500CS STG V 2019,34532,,27.0,67.0,174.0,3,2.0,3,1.0
113856518,HC 130i,12535521,,39.0,56.0,146.0,3,2.0,3,1.0
113798370,Super 1303-3i,15111158,,116.0,70.0,179.0,3,,3,1.0
113797166,180 EC-H 10 Litronic,42082,2125000598,69.0,92.0,,4,1.0,3,1.0
113796571,TL 1600 hydraulisch schwenkbar,590257,1865,41.0,10.0,39.0,4,1.0,3,1.0
113796534,A 920,1179-91641,18589,69.0,8.0,30.0,4,1.0,3,1.0
113795618,"TS - 256 HC, L=4,14 m",102349,,69.0,93.0,,4,1.0,3,1.0
113795615,"TS - 256 HC, L=4,14 m",102348,,69.0,93.0,,4,1.0,3,1.0
113795612,"TS - 256 HC, L=4,14 m",102347,,69.0,93.0,,4,1.0,3,1.0
113795609,"TS - 256 HC, L=4,14 m",102346,,69.0,93.0,,4,1.0,3,1.0
113795606,"TS - 256 HC, L=4,14 m",102345,,69.0,93.0,,4,1.0,3,1.0
113795603,"TS - 256 HC, L=4,14 m",102344,,69.0,93.0,,4,1.0,3,1.0
113795316,CAR Radlader 950GC,M57701083,,18.0,37.0,,5,,1,
113794790,HC 130i,1234567,,39.0,56.0,146.0,4,2.0,3,1.0
113793667,Verschmälerung - AB 135 V - R,102334,,116.0,74.0,196.0,3,2.0,3,1.0
