equipment_group_id,code,name,full_name
1,1.2010.000,Bürocontainer,1.2010.000 - Bürocontainer
2,1.3010.000,Stromerzeuger,1.3010.000 - Stromerzeuger
3,1.4010.000,Schmutzwasserpumpe,1.4010.000 - Schmutzwasserpumpe
4,1.5010.000,Lichtmast,1.5010.000 - Lichtmast
5,2.1010.000,"Minibagger (0,0 to - 4,4 to)","2.1010.000 - Minibagger (0,0 to - 4,4 to)"
6,2.1020.000,"Kompaktbagger (4,5 to - 10,9 to)","2.1020.000 - Kompaktbagger (4,5 to - 10,9 to)"
7,2.1030.000,Kettenbagger,2.1030.000 - Kettenbagger
8,2.1040.000,Mobilbagger,2.1040.000 - Mobilbagger
9,2.2010.000,Tieflöffel,2.2010.000 - Tieflöffel
10,2.2020.000,Tieflöffel (hydraulisch schwenkbar),2.2020.000 - Tieflöffel (hydraulisch schwenkbar)
11,2.2025.000,Telelöffel,2.2025.000 - Telelöffel
12,2.2030.000,Sieblöffel,2.2030.000 - Sieblöffel
13,2.2040.000,Grabenräumlöffel (starr),2.2040.000 - Grabenräumlöffel (starr)
14,2.2050.000,Grabenräumlöffel (hydraulisch schwenkbar),2.2050.000 - Grabenräumlöffel (hydraulisch schwenkbar)
15,2.2060.000,Pendelgreifer,2.2060.000 - Pendelgreifer
16,2.2070.000,Abbruch- und Sortiergreifer,2.2070.000 - Abbruch- und Sortiergreifer
17,2.2080.000,Hydraulikhammer,2.2080.000 - Hydraulikhammer
18,2.2090.000,Anbauverdichter,2.2090.000 - Anbauverdichter
19,2.2100.000,Abbruchzange/Pulverisierer,2.2100.000 - Abbruchzange/Pulverisierer
20,2.2110.000,Roderechen,2.2110.000 - Roderechen
21,2.2120.000,Schaufelseparator,2.2120.000 - Schaufelseparator
22,2.2130.000,Brecherlöffel,2.2130.000 - Brecherlöffel
23,2.2140.000,Erdbohrer (Bagger),2.2140.000 - Erdbohrer (Bagger)
24,2.2150.000,Anbaufräse,2.2150.000 - Anbaufräse
25,2.2160.000,Anbaumagnet,2.2160.000 - Anbaumagnet
26,2.2170.000,Spatenlöffel,2.2170.000 - Spatenlöffel
27,2.2180.000,Palettengabel (Bagger),2.2180.000 - Palettengabel (Bagger)
28,2.2190.000,Tiltrotator (Sandwich),2.2190.000 - Tiltrotator (Sandwich)
29,2.2200.000,Asphaltschneidrad,2.2200.000 - Asphaltschneidrad
30,2.2210.000,Anbaugrabenfräse,2.2210.000 - Anbaugrabenfräse
31,2.2220.000,Planierbalken,2.2220.000 - Planierbalken
32,2.2230.000,Rohrschiebeadapter (mechanisch),2.2230.000 - Rohrschiebeadapter (mechanisch)
33,2.2240.000,Anbaukernbohrgerät,2.2240.000 - Anbaukernbohrgerät
34,2.2250.000,Reißzahn,2.2250.000 - Reißzahn
35,2.2260.000,Wurzelschneider,2.2260.000 - Wurzelschneider
36,2.2270.000,Anbaustabilisierer,2.2270.000 - Anbaustabilisierer
37,2.3010.000,Radlader,2.3010.000 - Radlader
38,2.4010.000,Schaufel (Rad-/Kompaktlader),2.4010.000 - Schaufel (Rad-/Kompaktlader)
39,2.4020.000,Palettengabel (Rad-/Kompaktlader),2.4020.000 - Palettengabel (Rad-/Kompaktlader)
40,2.4030.000,Kehrbesen (Rad-/Kompaktlader),2.4030.000 - Kehrbesen (Rad-/Kompaktlader)
41,2.4040.000,Schneeschild (Rad-/Kompaktlader),2.4040.000 - Schneeschild (Rad-/Kompaktlader)
42,2.5010.000,Raddumper,2.5010.000 - Raddumper
43,2.5020.000,Kettendumper,2.5020.000 - Kettendumper
