property_id,equipment_serial_number,equipment_inventory_number,equipment_designation,property_type_id,value,unit_id
114400503,18100253,18653,W 120 CFi,171,,
114400502,18100253,18653,W 120 CFi,45,,15.0
114400501,18100253,18653,W 120 CFi,23,,
114400500,18100253,18653,W 120 CFi,8,,
114400499,18100253,18653,W 120 CFi,6,,
114400498,18100253,18653,W 120 CFi,142,,
114400497,18100253,18653,W 120 CFi,69,,
114400496,18100253,18653,W 120 CFi,26,,15.0
114400495,18100253,18653,W 120 CFi,89,,
114400494,18100253,18653,W 120 CFi,143,,
114400493,18100253,18653,W 120 CFi,46,,18.0
114400492,18100253,18653,W 120 CFi,87,,
114400491,18100253,18653,W 120 CFi,30,,
114400490,18100253,18653,W 120 CFi,77,,
114400489,18100253,18653,W 120 CFi,148,,
114400488,18100253,18653,W 120 CFi,9,,
114400487,18100253,18653,W 120 CFi,47,,15.0
114400486,18100253,18653,W 120 CFi,41,,
114400485,18100253,18653,W 120 CFi,73,,15.0
114400484,18100253,18653,W 120 CFi,63,,15.0
114400483,18100253,18653,W 120 CFi,144,,
114400482,18100253,18653,W 120 CFi,122,,
114400481,18100253,18653,W 120 CFi,88,,10.0
114400480,18100253,18653,W 120 CFi,61,,
114400479,18100253,18653,W 120 CFi,7,,
114400478,18100253,18653,W 120 CFi,55,,11.0
114399685,21305,18316,130 EC-B 8 Fr.tronic,53,,19.0
114399684,21305,18316,130 EC-B 8 Fr.tronic,146,,
114399683,21305,18316,130 EC-B 8 Fr.tronic,69,,
114399682,21305,18316,130 EC-B 8 Fr.tronic,19,,14.0
114399681,21305,18316,130 EC-B 8 Fr.tronic,148,,
114399680,21305,18316,130 EC-B 8 Fr.tronic,48,,3.0
114399679,21305,18316,130 EC-B 8 Fr.tronic,93,,5.0
114399678,21305,18316,130 EC-B 8 Fr.tronic,18,,14.0
114399677,21305,18316,130 EC-B 8 Fr.tronic,131,,11.0
114399676,21305,18316,130 EC-B 8 Fr.tronic,59,,14.0
114399675,21305,18316,130 EC-B 8 Fr.tronic,66,,
114399674,21305,18316,130 EC-B 8 Fr.tronic,94,,2.0
114399673,21305,18316,130 EC-B 8 Fr.tronic,130,,11.0
114399672,21305,18316,130 EC-B 8 Fr.tronic,76,,10.0
114399671,21305,18316,130 EC-B 8 Fr.tronic,133,,
114399670,21305,18316,130 EC-B 8 Fr.tronic,5,,
114399669,21305,18316,130 EC-B 8 Fr.tronic,50,,
114399232,,,HC 130i,170,,
114399231,,,HC 130i,158,,
114399230,,,HC 130i,124,,1.0
114399229,,,HC 130i,155,,
114399228,,,HC 130i,96,,
114399227,,,HC 130i,136,,
114399226,,,HC 130i,73,,15.0
114399225,,,HC 130i,7,,
114399224,,,HC 130i,63,,15.0
114399223,,,HC 130i,148,,
114399222,,,HC 130i,55,,11.0
114399221,,,HC 130i,88,,10.0
114399220,,,HC 130i,6,,
114399219,,,HC 130i,30,,
114399218,,,HC 130i,69,,
114399217,,,HC 130i,26,,15.0
114399216,,,HC 130i,123,,1.0
114399215,,,HC 130i,135,,11.0
114399214,,,HC 130i,13,,15.0
114399213,,,HC 130i,23,,
114399212,,,HC 130i,87,,
114399211,,,HC 130i,89,,
113856876,45rt432,,Materialkübel extern,73,2550,15.0
113856875,45rt432,,Materialkübel extern,51,,
113856874,45rt432,,Materialkübel extern,55,1200,11.0
113856873,45rt432,,Materialkübel extern,65,11,16.0
113856872,45rt432,,Materialkübel extern,26,3700,15.0
113856871,45rt432,,Materialkübel extern,63,2190,15.0
113856867,34532,,MF 2500CS STG V 2019,26,2550,15.0
113856866,34532,,MF 2500CS STG V 2019,69,Nein,
113856865,34532,,MF 2500CS STG V 2019,62,Ja,
113856864,34532,,MF 2500CS STG V 2019,31,Ja,
113856863,34532,,MF 2500CS STG V 2019,148,Ja,
113856862,34532,,MF 2500CS STG V 2019,43,4000,20.0
113856861,34532,,MF 2500CS STG V 2019,30,Ja,
113856860,34532,,MF 2500CS STG V 2019,89,QSB 6.7-C225,
113856859,34532,,MF 2500CS STG V 2019,22,1200,15.0
113856858,34532,,MF 2500CS STG V 2019,73,9200,15.0
113856857,34532,,MF 2500CS STG V 2019,8,Nein,
