property_type_id,code,name,full_name
1,E1010,1-Achser,E1010 - 1-Achser
2,E1020,2-Achser,E1020 - 2-Achser
3,E1030,3-Achser,E1030 - 3-Achser
4,E1040,4-Achser,E1040 - 4-Achser
5,E1050,ABB - Arbeitsbereichsbegrenzung,E1050 - ABB - Arbeitsbereichsbegrenzung
6,E1070,Abgasstufe EU,E1070 - Abgasstufe EU
7,E1080,Abgasstufe USA,E1080 - Abgasstufe USA
8,E1090,Absauganlage,E1090 - Absauganlage
9,E1100,Absauganlage VCS,E1100 - Absauganlage VCS
10,E1110,Allradantrieb,E1110 - Allradantrieb
11,E1120,Allradlenkung,E1120 - Allradlenkung
12,E1130,Anzahl Zähne,E1130 - Anzahl Zähne
13,E1150,Arbeitsbreite [mm],E1150 - Arbeitsbreite [mm]
14,E1160,Arbeitsdruck [bar],E1160 - Arbeitsdruck [bar]
15,E1170,Arbeitshöhe [m],E1170 - Arbeitshöhe [m]
16,E1180,Asphaltmanager,E1180 - Asphaltmanager
17,E1200,Aufgabe [mm],E1200 - Aufgabe [mm]
18,E1210,Ausladung [m],E1210 - Ausladung [m]
19,E1220,Ausleger [m],E1220 - Ausleger [m]
20,E1230,Backenbrecher,E1230 - Backenbrecher
21,E1240,Ballast [t],E1240 - Ballast [t]
22,E1250,Bandbreite [mm],E1250 - Bandbreite [mm]
23,E1270,Bio-Hydrauliköl,E1270 - Bio-Hydrauliköl
24,E1280,Bodenplatten [mm],E1280 - Bodenplatten [mm]
25,E1320,Brechkraft [t],E1320 - Brechkraft [t]
26,E1330,Breite [mm],E1330 - Breite [mm]
27,E1340,Dachprofilverstellung,E1340 - Dachprofilverstellung
28,E1360,Dauerleistung [kVA],E1360 - Dauerleistung [kVA]
29,E1370,Dieselmotor,E1370 - Dieselmotor
30,E1380,Dieselpartikelfilter,E1380 - Dieselpartikelfilter
31,E1390,Distanzkontrolle automatisch,E1390 - Distanzkontrolle automatisch
32,E1400,drehbar,E1400 - drehbar
33,E1430,Druck [bar],E1430 - Druck [bar]
34,E1450,Durchsatzmenge [t/h],E1450 - Durchsatzmenge [t/h]
35,E1460,E-Heizung,E1460 - E-Heizung
36,E1470,Einbaubreite Grundbohle [m],E1470 - Einbaubreite Grundbohle [m]
37,E1480,Einbaubreite max. [m],E1480 - Einbaubreite max. [m]
